,role,player,team,games,fm,cost
21,p,Silvestri,UDI,5,"5,5",15.5
24,p,Consigli,SAS,5,"5,0",11.5
7,d,Hernandez T.,MIL,5,"6,6",42.0
20,d,Marusic,LAZ,5,"5,5",6.5
19,d,Bereszynski,SAM,4,"5,5",5.0
18,d,Gyomber,SAL,5,"5,5",2.5
12,d,Zortea,ATA,3,"5,83",2.0
13,d,Gallo,LEC,4,"5,75",1.5
17,d,Radovanovic,SAL,1,"5,5",1.5
4,d,Masina,UDI,4,"6,75",1.0
11,d,Ballo-Toure',MIL,1,"6,0",1.0
23,d,Ranocchia,MON,1,"5,0",1.0
1,c,Zielinski,NAP,5,"7,7",43.5
9,c,Mkhitaryan,INT,2,"6,0",19.0
2,c,Ricci S.,TOR,3,"7,0",9.0
5,c,Elmas,NAP,5,"6,7",7.0
8,c,Coulibaly L.,SAL,4,"6,25",7.0
3,c,Lovric,UDI,5,"6,9",6.5
15,c,Saelemaekers,MIL,5,"5,7",6.0
0,a,Vlahovic,JUV,4,"9,75",195.0
16,a,Muriel,ATA,3,"5,67",35.0
6,a,Caputo,SAM,5,"6,6",34.5
22,a,Barrow,BOL,3,"5,5",11.5
14,a,Quagliarella,SAM,5,"5,7",7.5
10,a,Boga,ATA,1,"6,0",6.5
